Day,Time,Arena,Sex,Treatment,Soc_index,ExperimentalBlock,Strain_ID
2,1,42,Female,Control,1.142857143,A,55928
2,1,43,Male,RNAi,0.571428571,A,55928
2,1,44,Male,Control,1.142857143,A,55928
2,1,45,Male,Control,0.285714286,A,55928
2,1,46,Male,RNAi,2,A,55928
2,1,47,Female,RNAi,4.571428571,A,55928
2,1,48,Female,Control,3.714285714,A,55928
2,2,1,Female,Control,2.285714286,A,55928
2,2,2,Female,RNAi,2.571428571,A,55928
2,2,3,Male,Control,2.857142857,A,55928
2,2,4,Male,RNAi,1.142857143,A,55928
2,2,5,Male,RNAi,3.142857143,A,55928
2,2,6,Female,RNAi,6,A,55928
2,2,7,Male,Control,1.142857143,A,55928
2,2,8,Female,Control,3.428571429,A,55928
2,2,9,Male,Control,1.714285714,A,55928
2,2,10,Female,RNAi,4.571428571,A,55928
2,2,11,Male,RNAi,0.571428571,A,55928
2,2,12,Female,Control,4.571428571,A,55928
2,2,13,Female,Control,0.571428571,A,55928
2,2,14,Male,RNAi,1.714285714,A,55928
2,2,15,Female,RNAi,8,A,55928
2,2,16,Male,Control,3.142857143,A,55928
2,2,17,Female,RNAi,4.285714286,A,55928
2,2,18,Male,RNAi,1.714285714,A,55928
2,2,19,Male,Control,2,A,55928
2,2,20,Female,Control,6,A,55928
2,2,21,Male,RNAi,2,A,55928
2,2,22,Female,Control,2,A,55928
2,2,23,Male,Control,0,A,55928
2,2,24,Female,RNAi,3.714285714,A,55928
2,2,25,Female,Control,1.714285714,A,55928
2,2,26,Female,RNAi,3.142857143,A,55928
2,2,27,Male,Control,0.857142857,A,55928
2,2,28,Male,RNAi,1.142857143,A,55928
2,2,29,Male,Control,1.428571429,A,55928
2,2,30,Male,RNAi,0.857142857,A,55928
2,2,31,Female,Control,1.714285714,A,55928
2,2,32,Female,RNAi,1.714285714,A,55928
2,2,33,Male,Control,3.142857143,A,55928
2,2,34,Female,RNAi,1.428571429,A,55928
2,2,35,Male,RNAi,0,A,55928
2,2,36,Female,Control,1.142857143,A,55928
2,2,37,Female,Control,1.428571429,A,55928
2,2,38,Male,RNAi,0.285714286,A,55928
2,2,39,Female,RNAi,1.428571429,A,55928
2,2,40,Male,Control,1.714285714,A,55928
2,2,41,Female,RNAi,4.571428571,A,55928
2,2,42,Female,Control,3.428571429,A,55928
2,2,43,Male,RNAi,2.571428571,A,55928
2,2,44,Male,Control,1.448979592,A,55928
2,2,45,Male,Control,0.571428571,A,55928
2,2,46,Male,RNAi,0.285714286,A,55928
2,2,47,Female,RNAi,6,A,55928
2,2,48,Female,Control,2.571428571,A,55928
2,3,1,Female,Control,1.142857143,A,55928
2,3,2,Female,RNAi,3.714285714,A,55928
2,3,3,Male,Control,2,A,55928
2,3,4,Male,RNAi,0.285714286,A,55928
2,3,5,Male,RNAi,0.571428571,A,55928
2,3,6,Female,RNAi,4.571428571,A,55928
2,3,7,Male,Control,2.285714286,A,55928
2,3,8,Female,Control,4.571428571,A,55928
2,3,9,Male,Control,1.142857143,A,55928
2,3,10,Female,RNAi,4.285714286,A,55928
2,3,11,Male,RNAi,1.714285714,A,55928
2,3,12,Female,Control,6,A,55928
2,3,13,Female,Control,1.714285714,A,55928
2,3,14,Male,RNAi,2,A,55928
2,3,15,Female,RNAi,8,A,55928
2,3,16,Male,Control,0.571428571,A,55928
2,3,17,Female,RNAi,3.428571429,A,55928
2,3,18,Male,RNAi,3.714285714,A,55928
2,3,19,Male,Control,2,A,55928
2,3,20,Female,Control,4.571428571,A,55928
2,3,21,Male,RNAi,0.571428571,A,55928
2,3,22,Female,Control,4.571428571,A,55928
2,3,23,Male,Control,0.571428571,A,55928
2,3,24,Female,RNAi,4.285714286,A,55928
2,3,25,Female,Control,3.428571429,A,55928
2,3,26,Female,RNAi,3.714285714,A,55928
2,3,27,Male,Control,1.714285714,A,55928
2,3,28,Male,RNAi,1.428571429,A,55928
2,3,29,Male,Control,2.857142857,A,55928
2,3,30,Male,RNAi,0.285714286,A,55928
2,3,31,Female,Control,3.142857143,A,55928
2,3,32,Female,RNAi,3.714285714,A,55928
2,3,33,Male,Control,1.142857143,A,55928
2,3,34,Female,RNAi,2.857142857,A,55928
2,3,35,Male,RNAi,1.714285714,A,55928
2,3,36,Female,Control,1.142857143,A,55928
2,3,37,Female,Control,2.571428571,A,55928
2,3,38,Male,RNAi,2,A,55928
2,3,39,Female,RNAi,1.428571429,A,55928
2,3,40,Male,Control,0.571428571,A,55928
2,3,41,Female,RNAi,4.285714286,A,55928
2,3,42,Female,Control,3.714285714,A,55928
2,3,43,Male,RNAi,0.285714286,A,55928
2,3,44,Male,Control,1.428571429,A,55928
2,3,45,Male,Control,0.285714286,A,55928
2,3,46,Male,RNAi,0.571428571,A,55928
2,3,47,Female,RNAi,3.714285714,A,55928
2,3,48,Female,Control,2.571428571,A,55928
2,4,1,Female,Control,0.571428571,A,55928
2,4,2,Female,RNAi,4.571428571,A,55928
2,4,3,Male,Control,1.714285714,A,55928
2,4,4,Male,RNAi,3.142857143,A,55928
2,4,5,Male,RNAi,2,A,55928
2,4,6,Female,RNAi,6,A,55928
2,4,7,Male,Control,3.142857143,A,55928
2,4,8,Female,Control,3.142857143,A,55928
2,4,9,Male,Control,1.428571429,A,55928
2,4,10,Female,RNAi,0.857142857,A,55928
2,4,11,Male,RNAi,0.857142857,A,55928
2,4,12,Female,Control,2,A,55928
2,4,13,Female,Control,1.428571429,A,55928
2,4,14,Male,RNAi,1.142857143,A,55928
2,4,15,Female,RNAi,8,A,55928
2,4,16,Male,Control,0.285714286,A,55928
2,4,17,Female,RNAi,1.428571429,A,55928
2,4,18,Male,RNAi,1.142857143,A,55928
2,4,19,Male,Control,4.571428571,A,55928
