N_unmapped	1026585	1026585	1026585
N_multimapping	1139571	1139571	1139571
N_noFeature	598306	35513798	851163
N_ambiguous	2163315	29186	1121695
FBgn0031081	2048	7	2042
FBgn0052826	1	1	0
FBgn0031085	11	11	0
FBgn0062565	5	0	5
FBgn0031088	500	1	499
FBgn0041626	5	0	5
FBgn0040784	0	0	0
FBgn0031086	0	0	0
FBgn0031082	6	6	0
FBgn0031080	333	2	332
FBgn0052821	0	0	0
FBgn0053217	139	0	139
FBgn0052350	563	76	663
FBgn0024733	94921	333	94592
FBgn0040372	1257	5	1252
FBgn0000316	645	3	750
FBgn0024989	991	10	982
FBgn0040371	20	0	20
FBgn0029521	81	2	86
FBgn0004034	27	0	27
FBgn0000022	7	0	7
FBgn0004170	1	0	1
FBgn0002561	0	0	0
FBgn0000137	15	1	14
FBgn0029522	0	159	90
FBgn0052817	4	55	21
FBgn0029524	52	1	55
FBgn0023536	334	15	366
FBgn0023534	1368	5	1363
FBgn0023535	39	776	63
FBgn0023537	3362	7	3358
FBgn0029525	330	14	320
FBgn0029523	45	96	223
FBgn0010019	389	4	387
FBgn0011822	0	0	0
FBgn0052816	259	7	258
FBgn0040370	1335	18	1318
FBgn0040373	105	1	104
FBgn0000108	38116	201	37917
FBgn0025640	1167	156	1224
FBgn0025635	489	0	489
FBgn0001341	226	50	223
FBgn0003575	1413	6	1409
FBgn0025634	548	1	547
FBgn0025638	2841	289	3064
FBgn0040383	840	2	843
FBgn0040382	18378	36	18342
FBgn0027343	344	1	343
FBgn0025621	1384	4	1390
FBgn0029535	0	0	0
FBgn0026874	51	0	51
FBgn0025616	0	0	0
FBgn0015799	1298	24	1284
FBgn0025620	521	39	883
FBgn0015288	8415	78	8338
FBgn0029532	3	3	0
FBgn0029531	3	298	3
FBgn0025639	4073	260	4325
FBgn0002579	30782	66	30723
FBgn0026879	1510	82	1641
FBgn0029529	492	4	614
FBgn0025633	1959	9	1950
FBgn0040892	25	3	22
FBgn0040341	0	0	0
FBgn0029539	0	0	0
FBgn0040339	451	1	548
FBgn0052815	1720	191	2190
FBgn0040340	1568	8	1560
FBgn0040347	73	653	117
FBgn0042146	0	0	0
FBgn0029552	0	0	0
FBgn0040337	313	0	315
FBgn0040398	8299	13	8288
FBgn0040365	2	0	2
FBgn0040397	1240	20	1260
FBgn0026143	409	7	404
FBgn0040351	1242	14	1692
FBgn0040338	0	0	0
FBgn0040350	26	10	16
FBgn0040349	2613	12	2601
FBgn0040348	1567	97	2167
FBgn0040346	511	491	677
FBgn0040342	62	18	48
FBgn0040345	6	104	0
FBgn0040343	176	1	175
FBgn0052814	3	0	3
FBgn0040364	686	3	684
FBgn0040362	0	0	0
FBgn0040361	39	0	39
FBgn0040360	13	0	13
FBgn0040359	442	1	441
FBgn0040358	19	0	19
FBgn0029568	3	0	3
FBgn0040357	83	0	83
FBgn0040367	50	15	37
FBgn0025642	60	0	60
FBgn0004650	10	0	10
FBgn0024362	2050	12	2038
FBgn0024361	53	15	38
FBgn0024364	316	22	300
FBgn0029573	274	15	259
FBgn0024987	7782	50	7732
FBgn0023169	4956	118	4973
FBgn0052813	1027	40	987
FBgn0024985	6381	44	6339
FBgn0027794	956	4	952
FBgn0027795	186	0	186
FBgn0024986	2077	41	2171
FBgn0000826	33	1	33
FBgn0024365	1483	10	1478
FBgn0024360	339	5	334
