Sample	36	38	40	42	44	46	48	50	52	54	56	58	60	62	64	66	68	70	72	74	76	78	80	82	84	86	88	90	92	94	96	98	100
AS_C_L1_M_S_S3_L002_R2_PE	942.0	429.0	1250.0	561.0	27.0	26.0	40.0	59.0	669.0	10523.0	1700.0	2109.0	2942.0	3612.0	4317.0	7389.0	4822.0	5512.0	6505.0	6993.0	14881.0	9433.0	11766.0	12277.0	12658.0	14443.0	18776.0	22245.0	28825.0	41896.0	71165.0	164620.0	43198723.0
AS_C_L1_M_V_S1_L004_R1_PE	15.0	22.0	30.0	73.0	35.0	51.0	38.0	37.0	4172.0	812.0	695.0	907.0	1246.0	5422.0	2466.0	3499.0	4359.0	5419.0	7067.0	7402.0	9923.0	10546.0	13558.0	15327.0	16349.0	19195.0	27328.0	31295.0	41043.0	62315.0	98022.0	224995.0	38416304.0
AS_C_L1_M_V_S1_L004_R2_PE	21.0	200.0	38.0	875.0	43.0	27.0	45.0	56.0	65.0	11702.0	1896.0	2463.0	3052.0	3975.0	4879.0	5402.0	11930.0	6465.0	7365.0	8037.0	8773.0	11269.0	14385.0	16296.0	16773.0	23026.0	25834.0	31121.0	41074.0	60775.0	96359.0	231474.0	38384272.0
AS_C_L1_M_V_S2_L002_R1_PE	18.0	1670.0	11.0	22.0	17.0	27.0	23.0	31.0	36.0	1139.0	661.0	858.0	1249.0	1801.0	2383.0	2886.0	3459.0	4423.0	5608.0	5995.0	7100.0	8638.0	11048.0	12344.0	12904.0	17065.0	19085.0	23945.0	30320.0	47934.0	72433.0	172885.0	48043231.0
AS_C_L1_M_V_S2_L002_R2_PE	1086.0	435.0	1429.0	569.0	25.0	27.0	38.0	30.0	628.0	17679.0	2313.0	2847.0	3613.0	4394.0	5131.0	8068.0	4903.0	5596.0	6640.0	6835.0	15261.0	9023.0	11433.0	11644.0	11793.0	13472.0	17895.0	21472.0	28055.0	40875.0	70006.0	161922.0	48026112.0
AS_C_L1_M_V_S3_L002_R1_PE	18.0	1331.0	28.0	33.0	35.0	32.0	36.0	55.0	63.0	1198.0	607.0	885.0	1265.0	1963.0	2566.0	3354.0	4007.0	4912.0	6111.0	6637.0	7503.0	9549.0	11505.0	12805.0	13067.0	17046.0	19436.0	23310.0	29408.0	43245.0	63726.0	141783.0	36592946.0
AS_C_L1_M_V_S3_L002_R2_PE	834.0	373.0	1083.0	507.0	36.0	31.0	45.0	58.0	551.0	15985.0	2021.0	2689.0	3370.0	4223.0	4906.0	7103.0	5097.0	5819.0	6904.0	7438.0	13974.0	9661.0	12033.0	12250.0	11969.0	13873.0	17786.0	20625.0	26352.0	37780.0	62084.0	140118.0	36572887.0
AS_C_L2_F_S_S1_L004_R1_PE	15.0	9.0	11.0	77.0	17.0	15.0	23.0	32.0	4330.0	1000.0	762.0	1034.0	1598.0	6198.0	2928.0	4349.0	5223.0	6605.0	9702.0	9271.0	11987.0	13102.0	17219.0	19080.0	19849.0	23668.0	32816.0	38270.0	48575.0	72223.0	109555.0	244874.0	41674407.0
AS_C_L2_F_S_S1_L004_R2_PE	25.0	184.0	19.0	901.0	11.0	15.0	29.0	28.0	32.0	12128.0	1946.0	2481.0	3380.0	4348.0	5334.0	5786.0	13056.0	7042.0	7761.0	8691.0	9555.0	12469.0	16073.0	18677.0	19341.0	26400.0	29547.0	36380.0	48436.0	72906.0	117070.0	287337.0	41611436.0
AS_C_L2_F_S_S2_L004_R1_PE	12.0	6.0	9.0	63.0	15.0	11.0	18.0	6.0	3550.0	890.0	607.0	698.0	1127.0	4587.0	2038.0	2938.0	3589.0	4689.0	6663.0	6414.0	8458.0	9196.0	11953.0	13176.0	14116.0	16936.0	23313.0	27136.0	35456.0	52508.0	81105.0	184800.0	32705802.0
AS_C_L2_F_S_S2_L004_R2_PE	30.0	135.0	18.0	729.0	21.0	17.0	11.0	15.0	20.0	11770.0	1909.0	2331.0	2993.0	3838.0	4704.0	4916.0	10533.0	5886.0	6272.0	6759.0	7382.0	9624.0	12306.0	14034.0	14376.0	19851.0	21646.0	26269.0	34638.0	51152.0	82528.0	201572.0	32663600.0
AS_C_L2_F_S_S3_L002_R1_PE	14.0	1311.0	24.0	21.0	29.0	22.0	40.0	41.0	51.0	985.0	549.0	768.0	1169.0	1652.0	2106.0	2867.0	3334.0	4125.0	5491.0	5611.0	6425.0	7702.0	9999.0	10729.0	11393.0	15307.0	17285.0	21681.0	27011.0	41113.0	60772.0	139626.0	37881675.0
AS_C_L2_F_S_S3_L002_R2_PE	837.0	360.0	1113.0	486.0	27.0	29.0	42.0	40.0	488.0	12353.0	1584.0	2092.0	2696.0	3201.0	3970.0	6364.0	4108.0	4552.0	5273.0	5406.0	12365.0	7534.0	9404.0	9344.0	9801.0	11191.0	14853.0	17457.0	22630.0	32677.0	56649.0	129752.0	37892250.0
AS_C_L2_F_V_S1_L004_R1_PE	11.0	28.0	36.0	90.0	49.0	48.0	46.0	49.0	5541.0	1065.0	817.0	1103.0	1707.0	7153.0	3297.0	4715.0	5889.0	7323.0	9836.0	10255.0	13445.0	14034.0	18260.0	19988.0	20929.0	25070.0	35261.0	40458.0	52766.0	78712.0	123763.0	288821.0	50956838.0
AS_C_L2_F_V_S1_L004_R2_PE	24.0	263.0	47.0	1075.0	47.0	56.0	47.0	53.0	66.0	16784.0	2689.0	3195.0	4105.0	5372.0	6631.0	6759.0	15717.0	8210.0	9219.0	9988.0	10617.0	14118.0	17646.0	20136.0	20855.0	29321.0	32305.0	38542.0	51134.0	75264.0	120183.0	290807.0	50936128.0
AS_C_L2_F_V_S2_L004_R1_PE	6.0	8.0	12.0	58.0	13.0	14.0	10.0	23.0	3927.0	819.0	526.0	763.0	1051.0	4811.0	2104.0	2996.0	3526.0	4385.0	6011.0	6141.0	8322.0	8900.0	11329.0	12691.0	13246.0	16200.0	22701.0	26199.0	34445.0	51316.0	80379.0	187608.0	36363929.0
AS_C_L2_F_V_S2_L004_R2_PE	12.0	150.0	30.0	758.0	14.0	13.0	11.0	15.0	27.0	10034.0	1626.0	1894.0	2537.0	3216.0	3886.0	4388.0	10205.0	5073.0	5602.0	6076.0	6873.0	8755.0	10875.0	13117.0	13140.0	18920.0	20065.0	24657.0	32458.0	48772.0	78270.0	190784.0	36352216.0
AS_C_L2_F_V_S3_L002_R1_PE	24.0	1503.0	23.0	13.0	37.0	37.0	39.0	49.0	70.0	1686.0	933.0	1275.0	1898.0	2798.0	3541.0	4283.0	5438.0	6523.0	8368.0	8682.0	9826.0	12146.0	15019.0	16454.0	17098.0	21921.0	25456.0	30429.0	38113.0	56346.0	80335.0	173843.0	42079487.0
AS_C_L2_F_V_S3_L002_R2_PE	950.0	421.0	1246.0	524.0	36.0	36.0	45.0	46.0	601.0	13009.0	1908.0	2487.0	3239.0	3944.0	4728.0	7535.0	4886.0	5534.0	6696.0	7088.0	14983.0	9713.0	12101.0	12283.0	12334.0	14033.0	18351.0	21239.0	27271.0	38221.0	64042.0	140894.0	42173269.0
AS_C_L2_M_S_S1_L004_R1_PE	6.0	14.0	16.0	96.0	21.0	13.0	17.0	31.0	4361.0	839.0	639.0	934.0	1361.0	5722.0	2535.0	3589.0	4528.0	5894.0	7803.0	8189.0	10652.0	11593.0	15196.0	16716.0	17788.0	21466.0	29916.0	34637.0	45199.0	66255.0	104923.0	240999.0	40301826.0
AS_C_L2_M_S_S1_L004_R2_PE	18.0	175.0	25.0	886.0	24.0	22.0	23.0	33.0	25.0	8730.0	1637.0	2061.0	2709.0	3635.0	4517.0	5092.0	11968.0	6533.0	7199.0	7884.0	8645.0	11488.0	14765.0	16775.0	17368.0	24419.0	26801.0	32004.0	42272.0	62960.0	99931.0	239677.0	40303473.0
AS_C_L2_M_S_S2_L002_R1_PE	7.0	1444.0	12.0	5.0	16.0	17.0	16.0	36.0	26.0	947.0	564.0	780.0	1119.0	1673.0	2167.0	2890.0	3532.0	4393.0	5381.0	5707.0	6700.0	8217.0	10288.0	11523.0	12255.0	16091.0	18667.0	22963.0	28897.0	44011.0	66272.0	152512.0	40112478.0
AS_C_L2_M_S_S2_L002_R2_PE	934.0	386.0	1174.0	480.0	17.0	27.0	23.0	30.0	597.0	11850.0	1593.0	2099.0	2776.0	3402.0	3954.0	6612.0	4156.0	4786.0	5802.0	6050.0	13428.0	8274.0	10197.0	10346.0	10760.0	11949.0	15929.0	18670.0	24153.0	34522.0	57583.0	133343.0	40135704.0
AS_C_L2_M_S_S3_L002_R1_PE	15.0	1407.0	26.0	29.0	25.0	32.0	35.0	59.0	47.0	1020.0	532.0	715.0	1101.0	1441.0	1957.0	2380.0	2919.0	3534.0	4393.0	4632.0	5457.0	6598.0	8459.0	9426.0	9697.0	13621.0	15107.0	18319.0	23453.0	36476.0	56169.0	136177.0	41012990.0
AS_C_L2_M_S_S3_L002_R2_PE	900.0	428.0	1230.0	541.0	23.0	40.0	34.0	50.0	716.0	12583.0	1819.0	2366.0	3230.0	3731.0	4581.0	7155.0	4625.0	5258.0	6075.0	6478.0	13726.0	8909.0	10976.0	11094.0	11839.0	13483.0	17815.0	22068.0	29339.0	44102.0	79401.0	192952.0	40860681.0
AS_C_L2_M_V_S1_L004_R1_PE	12.0	17.0	17.0	91.0	37.0	34.0	45.0	40.0	4974.0	1018.0	785.0	1068.0	1564.0	6588.0	3072.0	4363.0	5371.0	6531.0	8583.0	8925.0	11470.0	12633.0	16022.0	18124.0	18978.0	22254.0	31862.0	36514.0	48321.0	71584.0	112036.0	257963.0	45963701.0
AS_C_L2_M_V_S1_L004_R2_PE	25.0	202.0	34.0	1022.0	42.0	32.0	50.0	49.0	65.0	11057.0	2039.0	2413.0	3370.0	4272.0	5353.0	5965.0	13687.0	7280.0	8060.0	9079.0	9670.0	12931.0	16456.0	19331.0	19979.0	27643.0	30515.0	37395.0	50365.0	75515.0	123191.0	302606.0	45874904.0
AS_C_L2_M_V_S2_L002_R1_PE	10.0	1445.0	26.0	20.0	24.0	28.0	31.0	41.0	38.0	1101.0	635.0	850.0	1279.0	1824.0	2366.0	2897.0	3654.0	4546.0	5647.0	6029.0	6988.0	8475.0	10633.0	11978.0	12201.0	16364.0	18753.0	22791.0	28859.0	44089.0	65644.0	148869.0	41115113.0
AS_C_L2_M_V_S2_L002_R2_PE	937.0	392.0	1247.0	518.0	27.0	29.0	40.0	38.0	580.0	9824.0	1471.0	1902.0	2514.0	3025.0	3657.0	6449.0	3925.0	4222.0	5166.0	5573.0	13086.0	7595.0	9596.0	9820.0	10229.0	11354.0	15439.0	18194.0	23883.0	34954.0	58991.0	134523.0	41144048.0
AS_C_L2_M_V_S3_L002_R1_PE	6.0	1466.0	21.0	19.0	51.0	44.0	46.0	47.0	45.0	876.0	540.0	747.0	994.0	1516.0	1926.0	2456.0	2913.0	3648.0	4530.0	4752.0	5591.0	6704.0	8413.0	9369.0	9924.0	13488.0	15273.0	18685.0	23798.0	36744.0	56120.0	134035.0	42482511.0
AS_C_L2_M_V_S3_L002_R2_PE	950.0	401.0	1249.0	500.0	42.0	42.0	35.0	60.0	639.0	11701.0	1667.0	1975.0	2603.0	3117.0	3827.0	6379.0	3795.0	4180.0	4888.0	5131.0	12798.0	6899.0	8859.0	9137.0	9129.0	10526.0	14096.0	17153.0	22228.0	33145.0	57851.0	137387.0	42454909.0
AS_C_L3_F_S_S1_L004_R1_PE	13.0	6.0	22.0	124.0	31.0	25.0	30.0	31.0	5037.0	1029.0	805.0	1044.0	1568.0	6727.0	3254.0	4550.0	5627.0	6825.0	10041.0	9833.0	12871.0	13782.0	18129.0	19966.0	20836.0	25361.0	34919.0	41153.0	52578.0	78640.0	120645.0	269046.0	47825915.0
AS_C_L3_F_S_S1_L004_R2_PE	26.0	203.0	32.0	1058.0	26.0	19.0	30.0	41.0	49.0	9018.0	1697.0	2066.0	2755.0	3552.0	4272.0	5245.0	13307.0	6349.0	7033.0	7921.0	8695.0	11486.0	14808.0	16999.0	17404.0	25101.0	27075.0	32688.0	43083.0	64126.0	101988.0	245340.0	47916971.0
AS_C_L3_F_S_S2_L004_R1_PE	5.0	11.0	16.0	75.0	18.0	13.0	16.0	11.0	4193.0	1093.0	727.0	952.0	1419.0	5793.0	2722.0	3963.0	4769.0	5932.0	8148.0	8513.0	10965.0	11669.0	15378.0	17050.0	18302.0	21330.0	29609.0	34403.0	44477.0	65877.0	102321.0	229722.0	40160560.0
