seqFile,Name
NS.1720.004.NEBNext_dual_i7_G1---NEBNext_dual_i5_G1.59,AS_D_L4_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_H1---NEBNext_dual_i5_H1.60,AS_C_L4_F_S_S2_L004
NS.1720.004.NEBNext_dual_i7_A2---NEBNext_dual_i5_A2.61,AS_U_L1_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_B2---NEBNext_dual_i5_B2.62,AS_D_L1_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_C2---NEBNext_dual_i5_C2.63,AS_C_L1_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_D2---NEBNext_dual_i5_D2.64,AS_U_L2_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_E2---NEBNext_dual_i5_E2.65,AS_D_L2_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_F2---NEBNext_dual_i5_F2.66,AS_C_L2_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_G2---NEBNext_dual_i5_G2.67,AS_U_L3_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_H2---NEBNext_dual_i5_H2.68,AS_D_L3_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_A3---NEBNext_dual_i5_A3.69,AS_C_L3_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_B3---NEBNext_dual_i5_B3.70,AS_U_L4_F_V_S2_L004
NS.1720.004.NEBNext_dual_i7_C3---NEBNext_dual_i5_C3.71,AS_D_L4_F_V_S2_L004
NS.1722.002.NEBNext_dual_i7_D3---NEBNext_dual_i5_D3.72,AS_C_L4_F_V_S2_L002
NS.1722.002.NEBNext_dual_i7_E3---NEBNext_dual_i5_E3.73,AS_U_L1_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_F3---NEBNext_dual_i5_F3.74,AS_D_L1_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_G3---NEBNext_dual_i5_G3.75,AS_C_L1_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_H3---NEBNext_dual_i5_H3.76,AS_U_L2_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_A4---NEBNext_dual_i5_A4.77,AS_D_L2_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_B4---NEBNext_dual_i5_B4.78,AS_C_L2_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_C4---NEBNext_dual_i5_C4.79,AS_U_L3_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_D4---NEBNext_dual_i5_D4.80,AS_D_L3_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_E4---NEBNext_dual_i5_E4.81,AS_C_L3_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_F4---NEBNext_dual_i5_F4.82,AS_U_L4_M_S_S2_L002
NS.1720.004.NEBNext_dual_i7_G4---NEBNext_dual_i5_G4.83,AS_D_L4_M_S_S2_L004
NS.1722.002.NEBNext_dual_i7_H4---NEBNext_dual_i5_H4.84,AS_C_L4_M_S_S2_L002
NS.1722.002.NEBNext_dual_i7_A5---NEBNext_dual_i5_A5.85,AS_U_L1_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_B5---NEBNext_dual_i5_B5.86,AS_D_L1_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_C5---NEBNext_dual_i5_C5.87,AS_C_L1_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_D5---NEBNext_dual_i5_D5.88,AS_U_L2_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_E5---NEBNext_dual_i5_E5.89,AS_D_L2_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_F5---NEBNext_dual_i5_F5.90,AS_C_L2_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_G5---NEBNext_dual_i5_G5.91,AS_U_L3_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_H5---NEBNext_dual_i5_H5.92,AS_D_L3_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_A6---NEBNext_dual_i5_A6.93,AS_C_L3_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_B6---NEBNext_dual_i5_B6.94,AS_U_L4_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_C6---NEBNext_dual_i5_C6.95,AS_D_L4_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_D6---NEBNext_dual_i5_D6.96,AS_C_L4_M_V_S2_L002
NS.1722.002.NEBNext_dual_i7_E6---NEBNext_dual_i5_E6.97,AS_U_L1_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_F6---NEBNext_dual_i5_F6.98,AS_D_L1_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_G6---NEBNext_dual_i5_G6.99,AS_C_L1_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_H6---NEBNext_dual_i5_H6.100,AS_U_L2_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_A7---NEBNext_dual_i5_A7.101,AS_D_L2_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_B7---NEBNext_dual_i5_B7.102,AS_C_L2_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_C7---NEBNext_dual_i5_C7.103,AS_U_L3_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_D7---NEBNext_dual_i5_D7.104,AS_D_L3_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_E7---NEBNext_dual_i5_E7.105,AS_C_L3_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_F7---NEBNext_dual_i5_F7.106,AS_U_L4_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_G7---NEBNext_dual_i5_G7.107,AS_D_L4_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_H7---NEBNext_dual_i5_H7.108,AS_C_L4_F_S_S3_L002
NS.1722.002.NEBNext_dual_i7_A8---NEBNext_dual_i5_A8.109,AS_U_L1_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_B8---NEBNext_dual_i5_B8.110,AS_D_L1_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_C8---NEBNext_dual_i5_C8.111,AS_C_L1_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_D8---NEBNext_dual_i5_D8.112,AS_U_L2_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_E8---NEBNext_dual_i5_E8.113,AS_D_L2_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_F8---NEBNext_dual_i5_F8.114,AS_C_L2_F_V_S3_L002
NS.1720.004.NEBNext_dual_i7_G8---NEBNext_dual_i5_G8.115,AS_U_L3_F_V_S3_L004
NS.1722.002.NEBNext_dual_i7_H8---NEBNext_dual_i5_H8.116,AS_D_L3_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_A9---NEBNext_dual_i5_A9.117,AS_C_L3_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_B9---NEBNext_dual_i5_B9.118,AS_U_L4_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_C9---NEBNext_dual_i5_C9.119,AS_D_L4_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_D9---NEBNext_dual_i5_D9.120,AS_C_L4_F_V_S3_L002
NS.1722.002.NEBNext_dual_i7_E9---NEBNext_dual_i5_E9.121,AS_U_L1_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_F9---NEBNext_dual_i5_F9.122,AS_D_L1_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_G9---NEBNext_dual_i5_G9.123,AS_C_L1_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_H9---NEBNext_dual_i5_H9.124,AS_U_L2_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_A10---NEBNext_dual_i5_A10.125,AS_D_L2_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_B10---NEBNext_dual_i5_B10.126,AS_C_L2_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_C10---NEBNext_dual_i5_C10.127,AS_U_L3_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_D10---NEBNext_dual_i5_D10.128,AS_D_L3_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_E10---NEBNext_dual_i5_E10.129,AS_C_L3_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_F10---NEBNext_dual_i5_F10.130,AS_U_L4_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_G10---NEBNext_dual_i5_G10.131,AS_D_L4_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_H10---NEBNext_dual_i5_H10.132,AS_C_L4_M_S_S3_L002
NS.1722.002.NEBNext_dual_i7_A11---NEBNext_dual_i5_A11.133,AS_U_L1_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_B11---NEBNext_dual_i5_B11.134,AS_D_L1_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_C11---NEBNext_dual_i5_C11.135,AS_C_L1_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_D11---NEBNext_dual_i5_D11.136,AS_U_L2_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_E11---NEBNext_dual_i5_E11.137,AS_D_L2_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_F11---NEBNext_dual_i5_F11.138,AS_C_L2_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_G11---NEBNext_dual_i5_G11.139,AS_U_L3_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_H11---NEBNext_dual_i5_H11.140,AS_D_L3_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_A12---NEBNext_dual_i5_A12.141,AS_C_L3_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_B12---NEBNext_dual_i5_B12.142,AS_U_L4_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_C12---NEBNext_dual_i5_C12.143,AS_D_L4_M_V_S3_L002
NS.1722.002.NEBNext_dual_i7_D12---NEBNext_dual_i5_D12.144,AS_C_L4_M_V_S3_L002
